cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,webaddr,numemp,asset,chbal,chbali,sc,frepo,lnlsnet,lnatres,trade,bkprem,ore,intan,idoa,liabeq,liab,dep,depi,depdom,iddepinr,frepp,tradel,idobrmtg,subnd,idoliab,eqtot,eq,eqpp,eqcs,eqsur,equptot,eqconsub,nclnls,NCGTYPAR,oaienc,ernast,asstlt,asset5,asset2,RWAJT,AVASSETJ,OALIFINS,OALIFGEN,OALIFSEP,Oalifhyb,voliab,lnexamt,othbfhlb,lnlssale,ucln,RBCT1J,RBCT2,uc,obsdir
"4829","0","746223","2706726","1880 Bank","Cambridge","MD","21613","3/31/2015","5/17/2015","SM","304 High Street","DELMARVA BANCSHARES, INC.","3","0","0","4","0","Dorchester","","","1/1/1880","1/1/1934","10/31/2014","Stock","0","1","FED","DIF","New York","NEW YORK","Baltimore","Richmond","Northeastern","Southeast","www.1880bank.com","33","194321","21962","19725","37455","3","120273","1480","0","2958","989","0","10681","194321","172312","167972","118335","167972","81.8555057062275","0","0","0","0","4340","22009","22009","0","10742","26165","-14898","0","2520","0","417","177456","47955","193082","193082","126131","193807","8546","1687","0","6859","13633","4829","0","0","15291","21959","1573","15291","0"
"33785","15377","2713920","3063622","1919 Investment Counsel & Trust Company,  National Association","Baltimore","MD","21202","3/31/2015","5/17/2015","N","100 Light Street","STIFEL FINANCIAL CORP.","1","0","0","7","0","Baltimore City","12580","Baltimore-Columbia-Towson, MD","2/16/1993","9/29/1999","10/8/2014","Stock","0","1","OCC","DIF","New York","KANSAS CITY","Baltimore","Richmond","Northeastern","Southeast","http://www.1919ic.com","103","66027","9798","9798","13414","0","0","0","0","540","0","0","42275","66027","19478","500","500","500","50","0","0","0","0","18978","46549","46549","0","0","75031","-28482","0","0","0","2","23212","0","66168.5","66168.5","31915","48214","0","0","0","0","500","0","0","0","0","33231","0","0","0"
"57899","0","3317192","4526496","1st Advantage Bank","Saint Peters","MO","63376","3/31/2015","5/17/2015","NM","240 Salt Lick Road","BANC INVESTORS, LLC","1","0","0","4","0","Saint Charles","41180","St. Louis, MO-IL","1/31/2005","1/31/2005","9/10/2010","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","St. Louis","St. louis","Western","West","http://www.1stadvantagebank.com","16","80411","4748","4037","2971","0","64851","940","0","1869","5478","0","494","80411","73510","71330","61497","71330","64.8796759590183","0","0","2063","0","117","6901","6901","0","534","14363","-7996","0","3769","0","152","71859","5933","78281","78281","69388","77184","0","0","0","0","5780","3047","2063","0","5345","6845","868","5345","0"
"22039","0","564856","1128415","1st Bank","Broadus","MT","59317","3/31/2015","5/17/2015","SM","201 North Wilbur","1ST UNITED BANCORPORATION, INC.","1","0","0","2","1","Richland","","","6/9/1975","6/9/1975","9/20/2014","Stock","0","0","FED","DIF","San Francisco","SAN FRANCISCO","Billings","Minneapolis","Western","West","www.our1stbank.com","9","48825","24214","20906","0","0","22851","993","0","1095","0","0","665","48824","43971","43846","38098","43846","89.896479387085","0","0","0","0","125","4853","4853","0","657","3989","207","0","0","0","360","43757","2549","50949.5","50949.5","25012","49748","0","0","0","0","0","0","0","0","4570","4853","993","4570","0"
"16419","17301","419255","1055780","1st Bank & Trust","Broken Bow","OK","74728","3/31/2015","5/17/2015","SM","710 South Park Drive","SOUTHEASTERN BANCSHARES, INC.","4","0","0","8","1","Mccurtain","","","5/6/1946","5/6/1946","3/31/2006","Stock","0","1","FED","DIF","Dallas","DALLAS","Tulsa","Kansas City","Southern","West","http://www/1stbankandtrust.com","45","127198","6740","564","42493","2270","68812","1015","0","5891","0","0","992","127198","116713","116479","81209","116479","85.9281514228078","0","0","0","0","234","10485","10485","0","500","752","9233","0","170","0","656","114139","47114","127750","127750","75379","130856","0","0","0","0","1846","662","0","0","3758","10047","941","3758","0"
"30367","5236","148470","0","1st Bank of Sea Isle City","Sea Isle City","NJ","8243","3/31/2015","5/17/2015","SB","4301 Landis Avenue","","3","0","0","5","0","Cape May","36140","Ocean City, NJ","1/1/1882","11/30/1948","9/19/2014","Stock","0","0","FDIC","DIF","New York","NEW YORK","Jamesburg","Philadelphia","Northeastern","Northeast","www.1stbankseaisle.com","40","226507","24730","22400","8814","3000","173277","1347","0","5527","1563","0","9596","226507","203099","198811","170854","198811","78.7161805314542","0","0","0","0","4288","23408","23408","0","100","0","23308","0","3568","0","605","207491","96880","229938.5","229938.5","147295","225820","5748","5748","0","0","12291","10831","0","0","20815","23408","1347","20815","0"
"57298","0","3048487","3559844","1st Bank Yuma","Yuma","AZ","85364","3/31/2015","5/17/2015","NM","2799 South 4th Avenue","WESTERN ARIZONA BANCORP, INC.","4","0","0","4","0","Yuma","49740","Yuma, AZ","9/4/2001","9/4/2001","2/21/2012","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","Phoenix","San Francisco","Western","Western","http://www.1stbankyuma.com","54","226580","15820","4726","31866","8710","157746","1657","0","3743","0","1822","6873","226580","203012","201791","128506","201791","78.3637003305105","0","0","0","0","1221","23568","23568","0","5165","9820","8583","0","2927","447","857","203048","79476","220437.5","220437.5","177293","219586","4458","1656","0","2802","9580","3648","0","0","37649","21423","1679","37649","0"
"32487","8322","941653","1064791","1st Cameron State Bank","Cameron","MO","64429","3/31/2015","5/17/2015","NM","124 South Walnut","C & M BANCSHARES, INC.","2","0","0","8","0","Clinton","28140","Kansas City, MO-KS","8/11/1986","8/11/1986","6/29/2009","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Kansas City","Kansas City","Western","West","www.1stcameron.com","15","54370","15212","13989","8930","50","28976","265","0","749","199","0","254","54370","49575","41764","34660","41764","86.6328338200795","7610","0","0","0","201","4795","4795","0","500","1337","2958","0","27","0","128","51945","11252","52590","52590","24996","52963","0","0","0","0","11113","426","0","0","3196","4795","0","3196","0"
"58485","0","3594797","0","1st Capital Bank","Monterey","CA","93940","3/31/2015","5/17/2015","NM","5 Harris Court, Bldg N, # No","","4","0","0","4","0","Monterey","41500","Salinas, CA","4/16/2007","4/16/2007","7/26/2013","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","San Francisco","San Francisco","Western","Western","www.1stcapitalbank.com","66","480450","23980","15666","103779","0","342823","5537","0","1529","0","5","8334","480450","437950","436975","276287","436975","52.7758390674664","0","0","0","0","975","42500","42500","0","37779","1999","2722","0","100","100","1027","462268","145084","472656.5","472656.5","317043","473588","2441","0","0","2441","17990","13006","0","1136","61955","42211","3984","61955","0"
"57657","0","3247598","3602236","1st Century Bank,  National Association","Los Angeles","CA","90067","3/31/2015","5/17/2015","N","1875 Century Park East, # 14","1ST CENTURY BANCSHARES, INC.","1","0","0","4","0","Los Angeles","31080","Los Angeles-Long Beach-Anaheim, CA","3/1/2004","3/1/2004","3/31/2006","Stock","0","0","OCC","DIF","San Francisco","SAN FRANCISCO","Los Angeles (West)","San Francisco","Western","Western","www.1cbank.com","72","616620","60074","51959","72978","0","472093","7765","49","1640","0","0","9786","616620","558005","538228","215650","538228","55.1534831218694","0","49","17500","0","2228","58615","58615","0","49569","8278","768","0","632","0","1389","597030","121040","600904.5","600904.5","515004","594875","0","0","0","0","41072","3098","17500","0","143441","58136","6458","143441","5266"
