cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,inst.webaddr,lnlsnet,lnatres,lnlsgr,lncontra,idlnls,lnre,lnredom,lnrecons,lnrenres,LNRENROW,LNRENROT,lnremult,lnreres,lnreag,lnrefor,lnag,lnci,lncinus,lncon,lncrcd,lnconrp,LNAUTO,lnconoth,lnotci,lnfg,lnmuni,idothlns,ls,lndepac,lncomre,lnrenus,rslnltot,rslnls,LNRECNFM,LNRECNOT,RB2LNRES,lnlsgrf
"4829","0","746223","2706726","1880 Bank","Cambridge","MD","21613","3/31/2015","5/17/2015","SM","304 High Street","DELMARVA BANCSHARES, INC.","3","0","0","4","0","Dorchester","","","1/1/1880","1/1/1934","10/31/2014","Stock","0","1","FED","DIF","New York","NEW YORK","Baltimore","Richmond","Northeastern","Southeast","www.1880bank.com","120273","1480","121753","0","121753","105088","105088","1392","54698","25526","29172","213","38296","10489","","2529","12414","","1021","0","47","119","855","701","0","684","17","0","0","0","","3888","1387","1392","0","1573",""
"33785","15377","2713920","3063622","1919 Investment Counsel & Trust Company,  National Association","Baltimore","MD","21202","3/31/2015","5/17/2015","N","100 Light Street","STIFEL FINANCIAL CORP.","1","0","0","7","0","Baltimore City","12580","Baltimore-Columbia-Towson, MD","2/16/1993","9/29/1999","10/8/2014","Stock","0","1","OCC","DIF","New York","KANSAS CITY","Baltimore","Richmond","Northeastern","Southeast","http://www.1919ic.com","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0",""
"57899","0","3317192","4526496","1st Advantage Bank","Saint Peters","MO","63376","3/31/2015","5/17/2015","NM","240 Salt Lick Road","BANC INVESTORS, LLC","1","0","0","4","0","Saint Charles","41180","St. Louis, MO-IL","1/31/2005","1/31/2005","9/10/2010","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","St. Louis","St. louis","Western","West","http://www.1stadvantagebank.com","64851","940","65791","0","65791","57288","57288","5797","37565","17107","20458","5076","8389","461","","0","7161","","255","0","5","91","159","1087","0","0","1087","0","0","0","","524","0","1483","4314","868",""
"22039","0","564856","1128415","1st Bank","Broadus","MT","59317","3/31/2015","5/17/2015","SM","201 North Wilbur","1ST UNITED BANCORPORATION, INC.","1","0","0","2","1","Richland","","","6/9/1975","6/9/1975","9/20/2014","Stock","0","0","FED","DIF","San Francisco","SAN FRANCISCO","Billings","Minneapolis","Western","West","www.our1stbank.com","22851","993","23844","0","23844","7357","7357","0","364","0","364","0","636","6357","","11375","4103","","991","0","1","582","408","18","0","0","18","0","0","0","","0","0","0","0","993",""
"16419","17301","419255","1055780","1st Bank & Trust","Broken Bow","OK","74728","3/31/2015","5/17/2015","SM","710 South Park Drive","SOUTHEASTERN BANCSHARES, INC.","4","0","0","8","1","Mccurtain","","","5/6/1946","5/6/1946","3/31/2006","Stock","0","1","FED","DIF","Dallas","DALLAS","Tulsa","Kansas City","Southern","West","http://www/1stbankandtrust.com","68812","1015","69827","6","69833","43480","43480","3230","14597","3871","10726","0","23157","2496","","1956","4651","","19419","0","22","13215","6182","327","0","223","0","104","0","0","","0","0","410","2820","941",""
"30367","5236","148470","0","1st Bank of Sea Isle City","Sea Isle City","NJ","8243","3/31/2015","5/17/2015","SB","4301 Landis Avenue","","3","0","0","5","0","Cape May","36140","Ocean City, NJ","1/1/1882","11/30/1948","9/19/2014","Stock","0","0","FDIC","DIF","New York","NEW YORK","Jamesburg","Philadelphia","Northeastern","Northeast","www.1stbankseaisle.com","173277","1347","174624","160","174784","173128","173128","13786","28078","21077","7001","0","131264","0","","0","966","","689","0","0","0","689","0","0","0","0","0","0","0","","0","0","11068","2718","1347",""
"57298","0","3048487","3559844","1st Bank Yuma","Yuma","AZ","85364","3/31/2015","5/17/2015","NM","2799 South 4th Avenue","WESTERN ARIZONA BANCORP, INC.","4","0","0","4","0","Yuma","49740","Yuma, AZ","9/4/2001","9/4/2001","2/21/2012","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","Phoenix","San Francisco","Western","Western","http://www.1stbankyuma.com","157746","1657","159403","779","160182","133691","133691","13011","92044","50726","41318","4305","13792","10539","","1165","23621","","1705","0","173","353","1179","0","0","0","0","0","0","559","","130","130","2033","10978","1679",""
"32487","8322","941653","1064791","1st Cameron State Bank","Cameron","MO","64429","3/31/2015","5/17/2015","NM","124 South Walnut","C & M BANCSHARES, INC.","2","0","0","8","0","Clinton","28140","Kansas City, MO-KS","8/11/1986","8/11/1986","6/29/2009","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Kansas City","Kansas City","Western","West","www.1stcameron.com","28976","265","29241","0","29241","27399","27399","228","2316","2316","0","176","20562","4117","","518","443","","875","0","50","174","651","6","0","0","6","0","0","0","","0","0","134","94","0",""
"58485","0","3594797","0","1st Capital Bank","Monterey","CA","93940","3/31/2015","5/17/2015","NM","5 Harris Court, Bldg N, # No","","4","0","0","4","0","Monterey","41500","Salinas, CA","4/16/2007","4/16/2007","7/26/2013","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","San Francisco","San Francisco","Western","Western","www.1stcapitalbank.com","342823","5537","348360","0","348360","296944","296944","6599","134171","59931","74240","18148","123040","14986","","2237","44851","0","321","0","321","0","0","4007","0","0","4007","0","0","3803","0","1830","1830","502","6097","3984",""
"57657","0","3247598","3602236","1st Century Bank,  National Association","Los Angeles","CA","90067","3/31/2015","5/17/2015","N","1875 Century Park East, # 14","1ST CENTURY BANCSHARES, INC.","1","0","0","4","0","Los Angeles","31080","Los Angeles-Long Beach-Anaheim, CA","3/1/2004","3/1/2004","3/31/2006","Stock","0","0","OCC","DIF","San Francisco","SAN FRANCISCO","Los Angeles (West)","San Francisco","Western","Western","www.1cbank.com","472093","7765","479858","0","479858","402211","402211","47198","146571","34650","111921","60344","148098","0","","0","71008","0","6639","0","5104","0","1535","0","0","0","0","0","0","282","0","49","0","33725","13473","6458",""
"35456","0","2920773","3118513","1st Colonial Community Bank","Collingswood","NJ","8108","3/31/2015","5/17/2015","NM","1040 Haddon Avenue","1ST COLONIAL BANCORP, INC.","4","0","0","4","0","Camden","37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","6/29/2000","6/29/2000","11/1/2012","Stock","0","0","FDIC","DIF","New York","NEW YORK","Jamesburg","Philadelphia","Northeastern","Northeast","http://www.1stcolonial.com","260774","4106","264880","0","264880","242473","242473","30514","63012","35375","27637","5225","143633","89","","0","19463","0","2517","0","174","1227","1116","427","0","0","427","0","0","0","0","1329","1329","30514","0","3211",""
"11706","12404","338945","1204083","1st Community Bank","Sherrard","IL","61281","3/31/2015","5/17/2015","NM","407 Third Street","ILLINOIS HOLDING CO.","2","0","0","2","1","Mercer","19340","Davenport-Moline-Rock Island, IA-IL","1/1/1910","1/1/1934","3/13/2015","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Springfield Il","Chicago","Central","Central","http://www.1stcommunitybanks.com","46030","363","46393","0","46393","28692","28692","140","3771","3162","609","0","14069","10712","","8137","7801","","1736","0","17","1009","710","27","0","20","7","0","0","0","","0","0","0","140","363",""
"27552","10064","1412619","2784920","1st Constitution Bank","Cranbury","NJ","8512","3/31/2015","5/17/2015","NM","2650 Route 130","1ST CONSTITUTION BANCORP","19","0","0","4","0","Middlesex","35620","New York-Newark-Jersey City, NY-NJ-PA","7/24/1989","7/24/1989","2/8/2014","Stock","0","0","FDIC","DIF","New York","NEW YORK","Jamesburg","New York","Northeastern","Northeast","www.1stconstitution.com","711538","7364","718902","0","718902","403630","403630","99432","221267","117957","103310","4","82927","0","","0","305628","0","1153","0","0","285","868","8491","0","0","0","8491","0","0","0","3930","3930","72650","26782","7364",""
"34393","0","2531562","2531553","1st Equity Bank","Skokie","IL","60076","3/31/2015","5/17/2015","NM","3956 West Dempster Street","FIRST EQUITY CORP.","1","0","0","4","1","Cook","16980","Chicago-Naperville-Elgin, IL-IN-WI","6/9/1997","6/9/1997","3/31/2006","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Chicago","Chicago","Central","Central","","67529","969","68498","10","68508","59691","59691","0","27134","10574","16560","11829","20728","0","","0","8737","","80","0","3","0","77","0","0","0","0","0","0","0","","3523","3360","0","0","811",""
"57611","0","3203996","3203987","1st Equity Bank Northwest","Buffalo Grove","IL","60089","3/31/2015","5/17/2015","NM","1330 Dundee Road","NORTHWEST EQUITY CORP.","1","0","0","4","1","Cook","16980","Chicago-Naperville-Elgin, IL-IN-WI","10/15/2003","10/15/2003","3/31/2006","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Chicago","Chicago","Central","Central","","31370","371","31741","2","31743","30026","30026","0","10458","3922","6536","9686","9882","0","","0","1576","","141","0","0","3","138","0","0","0","0","0","0","0","","0","0","0","0","368",""
"1673","0","526452","0","1st Financial Bank USA","Dakota Dunes","SD","57049","3/31/2015","5/17/2015","NM","331 N. Dakota Dunes Blvd.","","2","0","0","3","0","Union","43580","Sioux City, IA-NE-SD","1/1/1910","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Sioux Falls","Minneapolis","Western","West","http://www.1fbusa.com","530506","23829","554335","0","554335","948","948","664","18","0","18","0","203","63","","5502","1937","0","544269","540972","0","542","2755","1679","0","631","828","220","0","863","0","14461","14423","0","664","8041",""
"58548","0","3655081","0","1st Manatee Bank","Parrish","FL","34219","3/31/2015","5/17/2015","NM","12215 Us Highway 301 N","","3","0","0","4","0","Manatee","35840","North Port-Sarasota-Bradenton, FL","11/13/2007","11/13/2007","1/25/2010","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Tampa","Atlanta","Southern","Southeast","WWW.1STMANATEE.COM","98499","1072","99571","180","99751","68163","68163","4651","37739","11130","26609","227","23519","2027","","139","30908","","541","0","0","76","465","0","0","0","0","0","0","0","","0","0","1397","3254","1072",""
"6646","8805","480723","0","1st National Bank","Lebanon","OH","45036","3/31/2015","5/17/2015","N","730 East Main Street","","10","0","0","4","1","Warren","17140","Cincinnati, OH-KY-IN","1/1/1907","1/1/1934","11/1/2012","Stock","0","0","OCC","DIF","Chicago","CHICAGO","Cincinnati","Cleveland","Central","Central","WWW.BANKWITH1ST.COM","87688","1367","89055","6","89061","85563","85563","14439","19430","11198","8232","6524","45170","0","","0","2297","","1128","0","199","529","400","72","0","72","0","0","0","0","","0","0","10278","4161","981",""
