cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,webaddr,idntilr,idntigr,intincy,intexpy,nimy,noniiay,nonixay,elnatry,noijy,roa,roaptx,roe,roeinjr,ntlnlsr,elnantr,iderncvr,eeffr,astempm,iddivnir,ernastr,lnatresr,lnresncr,nperfv,nclnlsr,lnlsntv,lnlsdepr,idlncorr,depdastr,eqv,rbc1aaj,rbc1rwaj,rbcrwaj,rbct1cer,asset5,ernast5,eq5,lnlsgr5
"4829","0","746223","2706726","1880 Bank","Cambridge","MD","21613","3/31/2015","5/17/2015","SM","304 High Street","DELMARVA BANCSHARES, INC.","3","0","0","4","0","Dorchester","","","1/1/1880","1/1/1934","10/31/2014","Stock","0","1","FED","DIF","New York","NEW YORK","Baltimore","Richmond","Northeastern","Southeast","www.1880bank.com","","","3.58390987988338","0.274811847570271","3.3090980323131","0.428833345418009","2.81331247863602","0","0.633927554096187","0.646357506137289","0.646357506137289","5.68590824183334","5.68590824183334","-3.31136792609027E-03","0","","81.6105769230769","5.88851515151515","0","91.3210615424993","1.21557579690028","58.7301587301587","1.80577498057338","2.0697641947221","61.8939795493024","71.6030052627819","77.9278082662192","86.4404773544805","11.3261047442119","11.3303441052181","17.4096772403295","18.6567933339147","17.4096772403295","193082","176120.5","21949","120796"
"33785","15377","2713920","3063622","1919 Investment Counsel & Trust Company,  National Association","Baltimore","MD","21202","3/31/2015","5/17/2015","N","100 Light Street","STIFEL FINANCIAL CORP.","1","0","0","7","0","Baltimore City","12580","Baltimore-Columbia-Towson, MD","2/16/1993","9/29/1999","10/8/2014","Stock","0","1","OCC","DIF","New York","KANSAS CITY","Baltimore","Richmond","Northeastern","Southeast","http://www.1919ic.com","","","0.633716603855109","0","0.633716603855109","82.6798249922546","66.2974073766218","0","9.63600504771908","9.63600504771908","16.5819083098453","13.9361550987399","13.9361550987399","","","","79.9927060539752","0.641038834951456","0","35.155315249822","","","0","","0","0","","0.757265966952913","70.4999469913823","68.9239639938607","104.123452921824","104.123452921824","104.123452921824","66168.5","20829.5","45751.5",""
"57899","0","3317192","4526496","1st Advantage Bank","Saint Peters","MO","63376","3/31/2015","5/17/2015","NM","240 Salt Lick Road","BANC INVESTORS, LLC","1","0","0","4","0","Saint Charles","41180","St. Louis, MO-IL","1/31/2005","1/31/2005","9/10/2010","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","St. Louis","St. louis","Western","West","http://www.1stadvantagebank.com","","","4.2940168980171","0.429974989788094","3.864041908229","0.367905366564045","3.41845403099092","9.19763416410112E-02","0.301478008712203","0.301478008712203","0.301478008712203","3.43572572426845","3.43572572426845","0","","","89.6782841823056","5.0256875","0","89.3646391662832","1.42876685260902","24.940302467498","11.4996704430986","5.72874709306744","80.6494136374377","90.9168652740782","95.9149867629006","88.7067689743941","8.58215915732922","8.86841832504146","9.86481812417133","11.115754885571","9.86481812417133","78281","69771.5","6869","63514.5"
"22039","0","564856","1128415","1st Bank","Broadus","MT","59317","3/31/2015","5/17/2015","SM","201 North Wilbur","1ST UNITED BANCORPORATION, INC.","1","0","0","2","1","Richland","","","6/9/1975","6/9/1975","9/20/2014","Stock","0","0","FED","DIF","San Francisco","SAN FRANCISCO","Billings","Minneapolis","Western","West","www.our1stbank.com","","","2.98103563067804","0.120272330920728","2.86076329975731","0.683029274085123","2.21395695737937","0","1.08342574510054","1.08342574510054","1.08342574510054","11.5047936640267","11.5047936640267","0","","","67.1428571428571","5.425","0","89.6200716845878","4.16456970306996","","0","0","46.8018433179724","52.1164986543812","52.1164986543812","89.8023553507424","9.93958013312852","9.7551660368256","19.402686710379","23.3727810650888","19.402686710379","50949.5","46561","4798","23527.5"
"16419","17301","419255","1055780","1st Bank & Trust","Broken Bow","OK","74728","3/31/2015","5/17/2015","SM","710 South Park Drive","SOUTHEASTERN BANCSHARES, INC.","4","0","0","8","1","Mccurtain","","","5/6/1946","5/6/1946","3/31/2006","Stock","0","1","FED","DIF","Dallas","DALLAS","Tulsa","Kansas City","Southern","West","http://www/1stbankandtrust.com","","","4.31235787332667","0.143163297818942","4.16919457550773","1.04892367906067","2.35146771037182","9.39334637964775E-02","2.34207436399217","2.34207436399217","2.34207436399217","23.4804787129684","-145.246223268589","6.39330446659498E-02","272.727272727273","70.7272727272727","49.1170699803793","2.82662222222222","718.582887700535","89.7333291403953","1.45359244991193","597.058823529412","0.133649900155663","0.243458833975396","54.0983348794792","59.0767434473167","60.0280896425986","91.5729807072438","8.24305413607132","7.67790548389069","13.3286459093381","14.5770042054153","13.3286459093381","127750","114554.5","12742.5","68822"
"30367","5236","148470","0","1st Bank of Sea Isle City","Sea Isle City","NJ","8243","3/31/2015","5/17/2015","SB","4301 Landis Avenue","","3","0","0","5","0","Cape May","36140","Ocean City, NJ","1/1/1882","11/30/1948","9/19/2014","Stock","0","0","FDIC","DIF","New York","NEW YORK","Jamesburg","Philadelphia","Northeastern","Northeast","www.1stbankseaisle.com","","","4.01571366215626","0.282770007401363","3.7329436547549","0.161782389638969","2.77987374885024","0.213970257264442","0.398367389541116","0.398367389541116","0.589722904167854","3.93234309264188","3.93234309264188","1.37959181327225E-02","2050","77","77.5728155339806","5.662675","0","91.6046744692217","0.771371632765256","37.7522421524664","2.26527215494444","2.04324720542423","76.4996225282221","87.1566462620278","92.8999571091572","87.7725633203389","10.3343384531162","10.3657780533168","15.8919175803659","16.8064089072949","15.8919175803659","229938.5","210772","23294","173964.5"
"57298","0","3048487","3559844","1st Bank Yuma","Yuma","AZ","85364","3/31/2015","5/17/2015","NM","2799 South 4th Avenue","WESTERN ARIZONA BANCORP, INC.","4","0","0","4","0","Yuma","49740","Yuma, AZ","9/4/2001","9/4/2001","2/21/2012","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","Phoenix","San Francisco","Western","Western","http://www.1stbankyuma.com","","","4.79105749721553","0.231306302342479","4.55975119487305","0.669577544655515","3.64184859654097","6.35100652112277E-02","0.765042245534448","0.776637368868727","1.09418769492487","7.35790265391641","7.35790265391641","0","","","76.062215477997","4.19592592592593","0","89.6142642775179","1.03950364798655","56.6108643662453","1.29181745961691","1.83622641982899","69.6204431106011","78.1729611330535","82.0691843859092","89.0594933356872","10.4016241504105","9.75608645359905","12.0833873869809","13.0304072918841","12.0833873869809","220437.5","198870.5","23267.5","158075.5"
"32487","8322","941653","1064791","1st Cameron State Bank","Cameron","MO","64429","3/31/2015","5/17/2015","NM","124 South Walnut","C & M BANCSHARES, INC.","2","0","0","8","0","Clinton","28140","Kansas City, MO-KS","8/11/1986","8/11/1986","6/29/2009","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Kansas City","Kansas City","Western","West","www.1stcameron.com","","","3.1505822379929","0.255884851816682","2.89469738617622","0.327058376117133","3.08803955124548","0","-7.60600874691006E-03","-7.60600874691006E-03","-7.60600874691006E-03","-8.34115316442498E-02","-8.34115316442498E-02","0.013489132817374","0","-1","100.246913580247","3.62466666666667","0","95.5398197535406","0.906261755753907","981.481481481482","0.415670406474159","9.23361034164358E-02","53.2940960088284","69.3803275548319","75.7324690938554","76.8144197167556","8.8192017656796","9.05349017238449","19.1830692910866","19.1830692910866","19.1830692910866","52590","50022.5","4795.5","29653.5"
"58485","0","3594797","0","1st Capital Bank","Monterey","CA","93940","3/31/2015","5/17/2015","NM","5 Harris Court, Bldg N, # No","","4","0","0","4","0","Monterey","41500","Salinas, CA","4/16/2007","4/16/2007","7/26/2013","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","San Francisco","San Francisco","Western","Western","www.1stcapitalbank.com","","","3.31121693687909","0.147145379635079","3.16407155724401","0.268270932484796","2.24941368626053","0.169256108823215","0.593242661425369","0.593242661425369","0.852204507924888","6.70164075477109","6.70164075477109","-1.42251515497265E-02","-1666.66666666667","","68.771021992238","7.27954545454545","0","96.2156311791029","1.5894476977839","5537","2.08138203767302E-02","0.028705936387645","71.3545634301176","78.4536872818811","81.8222609401291","90.9511915912166","8.84587366011031","8.91302144480012","13.3139668751557","14.5705787543015","13.3139668751557","472656.5","448536","41840.5","337430.5"
"57657","0","3247598","3602236","1st Century Bank,  National Association","Los Angeles","CA","90067","3/31/2015","5/17/2015","N","1875 Century Park East, # 14","1ST CENTURY BANCSHARES, INC.","1","0","0","4","0","Los Angeles","31080","Los Angeles-Long Beach-Anaheim, CA","3/1/2004","3/1/2004","3/31/2006","Stock","0","0","OCC","DIF","San Francisco","SAN FRANCISCO","Los Angeles (West)","San Francisco","Western","Western","www.1cbank.com","","","3.56135853755223","0.108003339848503","3.45335519770373","0.103177792810671","3.01745119232757","9.98494769135528E-02","0.180394721623819","0.212346554236156","0.37743102273323","2.19298622509044","2.19298622509044","-1.38721207221306E-02","-937.5","","87.5942028985507","8.56416666666667","0","96.8230028218352","1.6181870470014","1228.63924050633","0.102494242807564","0.131705629582085","76.5614154584671","87.7124564311035","98.5039529444167","87.2868217054263","9.50585449709708","9.77280941374238","11.2884560119921","12.542426854937","11.2884560119921","600904.5","581463.5","58185.5","461357"
"35456","0","2920773","3118513","1st Colonial Community Bank","Collingswood","NJ","8108","3/31/2015","5/17/2015","NM","1040 Haddon Avenue","1ST COLONIAL BANCORP, INC.","4","0","0","4","0","Camden","37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","6/29/2000","6/29/2000","11/1/2012","Stock","0","0","FDIC","DIF","New York","NEW YORK","Jamesburg","Philadelphia","Northeastern","Northeast","http://www.1stcolonial.com","","","3.28307486296801","0.28613046905843","2.99694439390958","0.595624359889049","2.23335233499329","0.293509917312902","0.628130344216863","0.628130344216863","0.962750771120823","9.66905204289998","9.66905204289998","3.11212600998214E-02","1535","65.7","64","8.5584","0","96.6166573191251","1.55013591060103","243.679525222552","0.641241353524023","0.636137118695258","60.9398953075341","68.4996348773556","74.741974038332","88.9638250140213","6.48485698261357","6.55326646787747","10.5744971685218","11.8285491115017","10.5744971685218","418384.5","404011.5","27179.5","257059"
