cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,inst.webaddr,dep,depdom,idtrni,idtrngov,idtrnmu,idtrcomb,idtrnfc,idtrnfg,depfor,trn,ddt,ntr,ntrsmmda,ntrsoth,ntrtime,ts,depnidom,depidom,coredep,depins,irakeogh,bro,broins,DEPLSNB,depnifor,depifor
"4829","0","746223","2706726","1880 Bank","Cambridge","MD","21613","3/31/2015","5/17/2015","SM","304 High Street","DELMARVA BANCSHARES, INC.","3","0","0","4","0","Dorchester","","","1/1/1880","1/1/1934","10/31/2014","Stock","0","1","FED","DIF","New York","NEW YORK","Baltimore","Richmond","Northeastern","Southeast","www.1880bank.com","167972","167972","145319","1","22652","0","0","0","","58984","48852","108988","12561","39723","56705","119120","49637","118335","154339","137568","13171","0","0","0","",""
"33785","15377","2713920","3063622","1919 Investment Counsel & Trust Company,  National Association","Baltimore","MD","21202","3/31/2015","5/17/2015","N","100 Light Street","STIFEL FINANCIAL CORP.","1","0","0","7","0","Baltimore City","12580","Baltimore-Columbia-Towson, MD","2/16/1993","9/29/1999","10/8/2014","Stock","0","1","OCC","DIF","New York","KANSAS CITY","Baltimore","Richmond","Northeastern","Southeast","http://www.1919ic.com","500","500","500","0","0","0","0","0","","0","0","500","0","0","500","500","0","500","0","250","0","0","0","0","",""
"57899","0","3317192","4526496","1st Advantage Bank","Saint Peters","MO","63376","3/31/2015","5/17/2015","NM","240 Salt Lick Road","BANC INVESTORS, LLC","1","0","0","4","0","Saint Charles","41180","St. Louis, MO-IL","1/31/2005","1/31/2005","9/10/2010","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","St. Louis","St. louis","Western","West","http://www.1stadvantagebank.com","71330","71330","71298","0","32","0","0","0","","12360","9833","58970","32045","1560","25365","61497","9833","61497","67613","46291","1581","0","0","5613","",""
"22039","0","564856","1128415","1st Bank","Broadus","MT","59317","3/31/2015","5/17/2015","SM","201 North Wilbur","1ST UNITED BANCORPORATION, INC.","1","0","0","2","1","Richland","","","6/9/1975","6/9/1975","9/20/2014","Stock","0","0","FED","DIF","San Francisco","SAN FRANCISCO","Billings","Minneapolis","Western","West","www.our1stbank.com","43846","43846","43636","0","210","0","0","0","","21122","8912","22724","8912","6847","6965","34934","5748","38098","43846","39425","729","0","0","0","",""
"16419","17301","419255","1055780","1st Bank & Trust","Broken Bow","OK","74728","3/31/2015","5/17/2015","SM","710 South Park Drive","SOUTHEASTERN BANCSHARES, INC.","4","0","0","8","1","Mccurtain","","","5/6/1946","5/6/1946","3/31/2006","Stock","0","1","FED","DIF","Dallas","DALLAS","Tulsa","Kansas City","Southern","West","http://www/1stbankandtrust.com","116479","116479","107419","0","9060","0","0","0","","60886","35271","55593","5751","21075","28768","81208","35271","81209","114633","100102","6287","0","0","0","",""
"30367","5236","148470","0","1st Bank of Sea Isle City","Sea Isle City","NJ","8243","3/31/2015","5/17/2015","SB","4301 Landis Avenue","","3","0","0","5","0","Cape May","36140","Ocean City, NJ","1/1/1882","11/30/1948","9/19/2014","Stock","0","0","FDIC","DIF","New York","NEW YORK","Jamesburg","Philadelphia","Northeastern","Northeast","www.1stbankseaisle.com","198811","198811","166144","0","32651","16","0","0","","51818","27458","146993","1501","99567","45925","171353","27957","170854","186520","156498","9616","0","0","0","",""
"57298","0","3048487","3559844","1st Bank Yuma","Yuma","AZ","85364","3/31/2015","5/17/2015","NM","2799 South 4th Avenue","WESTERN ARIZONA BANCORP, INC.","4","0","0","4","0","Yuma","49740","Yuma, AZ","9/4/2001","9/4/2001","2/21/2012","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","Phoenix","San Francisco","Western","Western","http://www.1stbankyuma.com","201791","201791","192529","0","9262","0","0","0","","97565","73285","104226","27752","39405","37068","128506","73285","128506","192211","158145","3446","0","0","0","",""
"32487","8322","941653","1064791","1st Cameron State Bank","Cameron","MO","64429","3/31/2015","5/17/2015","NM","124 South Walnut","C & M BANCSHARES, INC.","2","0","0","8","0","Clinton","28140","Kansas City, MO-KS","8/11/1986","8/11/1986","6/29/2009","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Kansas City","Kansas City","Western","West","www.1stcameron.com","41764","41764","34662","9","7093","0","0","0","","13572","7104","28192","8406","6738","13048","34660","7104","34660","38261","36190","3111","0","0","0","",""
"58485","0","3594797","0","1st Capital Bank","Monterey","CA","93940","3/31/2015","5/17/2015","NM","5 Harris Court, Bldg N, # No","","4","0","0","4","0","Monterey","41500","Salinas, CA","4/16/2007","4/16/2007","7/26/2013","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","San Francisco","San Francisco","Western","Western","www.1stcapitalbank.com","436975","436975","416026","0","20949","0","0","0","","186326","160688","250649","125739","94603","30307","276287","160688","276287","418985","230632","3560","0","0","0","",""
"57657","0","3247598","3602236","1st Century Bank,  National Association","Los Angeles","CA","90067","3/31/2015","5/17/2015","N","1875 Century Park East, # 14","1ST CENTURY BANCSHARES, INC.","1","0","0","4","0","Los Angeles","31080","Los Angeles-Long Beach-Anaheim, CA","3/1/2004","3/1/2004","3/31/2006","Stock","0","0","OCC","DIF","San Francisco","SAN FRANCISCO","Los Angeles (West)","San Francisco","Western","Western","www.1cbank.com","538228","538228","500228","0","38000","0","0","0","","62294","58925","475934","148452","286946","40536","479303","322578","215650","479263","297071","0","20393","20393","0","",""
"35456","0","2920773","3118513","1st Colonial Community Bank","Collingswood","NJ","8108","3/31/2015","5/17/2015","NM","1040 Haddon Avenue","1ST COLONIAL BANCORP, INC.","4","0","0","4","0","Camden","37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","6/29/2000","6/29/2000","11/1/2012","Stock","0","0","FDIC","DIF","New York","NEW YORK","Jamesburg","Philadelphia","Northeastern","Northeast","http://www.1stcolonial.com","380694","380694","195949","0","183662","1083","0","0","","56584","18374","324110","18706","249028","56377","362320","50859","329835","348899","182534","2740","23860","23860","0","",""
"11706","12404","338945","1204083","1st Community Bank","Sherrard","IL","61281","3/31/2015","5/17/2015","NM","407 Third Street","ILLINOIS HOLDING CO.","2","0","0","2","1","Mercer","19340","Davenport-Moline-Rock Island, IA-IL","1/1/1910","1/1/1934","3/13/2015","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Springfield Il","Chicago","Central","Central","http://www.1stcommunitybanks.com","61697","61697","52899","1","8610","187","0","0","","12527","8087","49170","5433","6838","36899","53610","8087","53610","50726","53989","1024","0","0","0","",""
"27552","10064","1412619","2784920","1st Constitution Bank","Cranbury","NJ","8512","3/31/2015","5/17/2015","NM","2650 Route 130","1ST CONSTITUTION BANCORP","19","0","0","4","0","Middlesex","35620","New York-Newark-Jersey City, NY-NJ-PA","7/24/1989","7/24/1989","2/8/2014","Stock","0","0","FDIC","DIF","New York","NEW YORK","Jamesburg","New York","Northeastern","Northeast","www.1stconstitution.com","810527","810527","660847","0","145882","3798","0","0","","80455","46875","730072","52063","525416","152593","763652","159934","650593","781678","564177","21218","4419","4419","11570","",""
"34393","0","2531562","2531553","1st Equity Bank","Skokie","IL","60076","3/31/2015","5/17/2015","NM","3956 West Dempster Street","FIRST EQUITY CORP.","1","0","0","4","1","Cook","16980","Chicago-Naperville-Elgin, IL-IN-WI","6/9/1997","6/9/1997","3/31/2006","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Chicago","Chicago","Central","Central","","78773","78773","74143","0","0","4630","0","0","","14330","7444","64443","20561","6407","37475","71329","7444","71329","71725","66753","3884","0","0","0","",""
"57611","0","3203996","3203987","1st Equity Bank Northwest","Buffalo Grove","IL","60089","3/31/2015","5/17/2015","NM","1330 Dundee Road","NORTHWEST EQUITY CORP.","1","0","0","4","1","Cook","16980","Chicago-Naperville-Elgin, IL-IN-WI","10/15/2003","10/15/2003","3/31/2006","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Chicago","Chicago","Central","Central","","32038","32038","23640","0","0","8398","0","0","","628","543","31410","7105","293","24012","31495","543","31495","29248","26409","2316","300","300","3826","",""
"1673","0","526452","0","1st Financial Bank USA","Dakota Dunes","SD","57049","3/31/2015","5/17/2015","NM","331 N. Dakota Dunes Blvd.","","2","0","0","3","0","Union","43580","Sioux City, IA-NE-SD","1/1/1910","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Sioux Falls","Minneapolis","Western","West","http://www.1fbusa.com","533671","533671","519236","0","14435","0","0","0","","14160","7917","519511","14174","964","504373","525754","7917","525754","163140","523888","1145","365968","365968","112436","",""
"58548","0","3655081","0","1st Manatee Bank","Parrish","FL","34219","3/31/2015","5/17/2015","NM","12215 Us Highway 301 N","","3","0","0","4","0","Manatee","35840","North Port-Sarasota-Bradenton, FL","11/13/2007","11/13/2007","1/25/2010","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Tampa","Atlanta","Southern","Southeast","WWW.1STMANATEE.COM","116328","116328","116328","0","0","0","0","0","","17551","8905","98777","31147","1330","66301","107423","8905","107423","104783","110177","6563","0","0","0","",""
"6646","8805","480723","0","1st National Bank","Lebanon","OH","45036","3/31/2015","5/17/2015","N","730 East Main Street","","10","0","0","4","1","Warren","17140","Cincinnati, OH-KY-IN","1/1/1907","1/1/1934","11/1/2012","Stock","0","0","OCC","DIF","Chicago","CHICAGO","Cincinnati","Cleveland","Central","Central","WWW.BANKWITH1ST.COM","106068","106068","90092","54","15923","0","0","0","","37988","19723","68081","7278","21025","39776","86346","19723","86345","97542","87124","4559","0","0","0","",""
