cert,name,namehcr,city,stalp,zip,bkclass,charter_type,estymd,dateupdt,asset,dep,eq,netinc,roa,roe,regagnt
10001,JPMorgan Chase Bank N.A.,JPMorgan Chase & Co.,Columbus,OH,23434,N,Commercial,1907-03-24,2025-03-31,3400000000,2579588689,275401462,33745697,0.993,12.253,OCC
10002,Bank of America N.A.,Bank of America Corp.,Charlotte,NC,22280,N,Commercial,1958-01-01,2025-03-31,2600000000,1989101173,300786675,22382286,0.861,7.441,OCC
10003,Wells Fargo Bank N.A.,Wells Fargo & Company,Sioux Falls,SD,81426,N,Commercial,1900-12-21,2025-03-31,1700000000,1168186374,170364159,13915778,0.819,8.168,OCC
10004,Citibank N.A.,Citigroup Inc.,Sioux Falls,SD,65392,N,Commercial,1851-03-23,2025-03-31,1700000000,1226241228,166546215,16910469,0.995,10.154,OCC
10005,U.S. Bank N.A.,U.S. Bancorp,Cincinnati,OH,59797,N,Commercial,1936-02-03,2025-03-31,660000000,467176107,56904658,9702324,1.47,17.05,OCC
10006,PNC Bank N.A.,PNC Financial Services,Wilmington,DE,80284,N,Commercial,1861-12-15,2025-03-31,555000000,369875190,63214374,6785475,1.223,10.734,OCC
10007,Truist Bank,Truist Financial Corp.,Charlotte,NC,57400,SM,Commercial,1925-11-20,2025-03-31,530000000,355746837,61952661,4532348,0.855,7.316,FRB
10008,Goldman Sachs Bank USA,The Goldman Sachs Group,New York,NY,40512,SM,Commercial,1908-05-03,2025-03-31,499000000,373326782,53983253,4152064,0.832,7.691,FRB
10009,Capital One N.A.,Capital One Financial Corp.,McLean,VA,56566,N,Commercial,1943-03-12,2025-03-31,475000000,378718556,45222398,5307589,1.117,11.737,OCC
10010,TD Bank N.A.,TD Group US Holdings,Wilmington,DE,32431,N,Commercial,1868-10-21,2025-03-31,370000000,253677992,33551271,5385935,1.456,16.053,OCC
10011,Western Oregon Federal Savings,First Horizon Corp.,Portland,OR,61856,N,Commercial,2005-12-11,2025-03-31,93000,71131,7752,-512,-0.551,-6.605,OCC
10012,Atlantic Utah Trust Company,Atlantic Utah Trust Company,Salt Lake City,UT,99192,NM,Commercial,1872-02-05,2025-03-31,93579,79486,10762,394,0.421,3.661,FDIC
10013,Coastal New Jersey National Bank,Coastal New Jersey National Bank,Newark,NJ,69470,NM,Commercial,1947-02-10,2025-03-31,590785,528289,47669,6257,1.059,13.126,FDIC
10014,Western Bank & Trust of Birmingham,Western Bank & Trust of Birmingham,Birmingham,AL,12552,SA,Savings,1995-01-20,2025-03-31,632342,552732,74829,8979,1.42,11.999,OCC
10015,Sovereign Savings Bank of Stamford,Sovereign Savings Bank of Stamford,Stamford,CT,82063,N,Commercial,1892-03-22,2025-03-31,6159230,4608177,521843,108696,1.765,20.829,OCC
10016,Federal Financial of Atlanta,Fifth Third Bancorp,Atlanta,GA,12757,SA,Savings,1975-02-08,2025-03-31,47760,40646,5863,380,0.797,6.481,OCC
10017,River Federal Savings of Nashville,First Horizon Corp.,Nashville,TN,63354,N,Commercial,2006-10-16,2025-03-31,27716,24420,2335,150,0.543,6.424,OCC
10018,Pioneer National Bank of Boise,Pioneer National Bank of Boise,Boise,ID,28373,NM,Commercial,1923-04-07,2025-03-31,73883,62491,10273,548,0.743,5.334,FDIC
10019,Patriot Bank & Trust of Newark,Patriot Bank & Trust of Newark,Newark,NJ,38016,NM,Commercial,1920-03-14,2025-03-31,2264748,1975471,188054,39642,1.75,21.08,FDIC
10020,Allied Nevada Bank,Bank of America Corp.,Las Vegas,NV,85914,N,Commercial,1899-04-10,2025-03-31,71173,60982,7500,775,1.089,10.333,OCC
10021,National Pennsylvania Savings Bank,BOK Financial Corp.,Philadelphia,PA,15209,SA,Savings,1963-02-19,2025-03-31,627276,505725,69294,1936,0.309,2.794,OCC
10022,Heritage Community Bank of Austin,Heritage Community Bank of Austin,Austin,TX,83792,SA,Savings,1878-01-15,2025-03-31,431737,319853,40721,2935,0.68,7.208,OCC
10023,Heritage Colorado Financial,Heritage Colorado Financial,Colorado Springs,CO,49240,SB,Savings,1995-01-22,2025-03-31,65745,57583,5881,774,1.179,13.161,FDIC
10024,Pioneer Virginia Trust Company,Pioneer Virginia Trust Company,Richmond,VA,46265,N,Commercial,1873-02-21,2025-03-31,3607983,2962031,332713,35417,0.982,10.645,OCC
10025,First Savings Bank of Little Rock,First Savings Bank of Little Rock,Little Rock,AR,66333,N,Commercial,1869-06-19,2025-03-31,374680,295385,42584,4891,1.306,11.486,OCC
10026,National DC Bank & Trust,PNC Financial Services,Washington,DC,64040,SB,Savings,1899-04-28,2025-03-31,1669324,1238663,143841,14192,0.85,9.866,FDIC
10027,Patriot Savings Bank of Phoenix,Truist Financial Corp.,Phoenix,AZ,62227,N,Commercial,1938-04-08,2025-03-31,52527,45040,6950,791,1.507,11.381,OCC
10028,Federal National Bank of Grand Rapids,Federal National Bank of Grand Rapids,Grand Rapids,MI,55309,NM,Commercial,1927-01-04,2025-03-31,86768,77764,11831,421,0.486,3.558,FDIC
10029,Pacific Federal Bank of Worcester,Fifth Third Bancorp,Worcester,MA,91678,N,Commercial,1910-06-14,2025-03-31,95574,67750,10627,1628,1.704,15.319,OCC
10030,Capital National Bank of Worcester,Capital National Bank of Worcester,Worcester,MA,81819,SM,Commercial,1904-10-19,2025-03-31,60538,46325,6856,488,0.807,7.118,FRB
10031,Citizens Alabama Bank & Trust,Citizens Alabama Bank & Trust,Birmingham,AL,91167,SM,Commercial,1881-05-17,2025-03-31,736130,583749,68329,10847,1.474,15.875,FRB
10032,Heritage Federal Savings of Grand Rapids,JPMorgan Chase & Co.,Grand Rapids,MI,23970,N,Commercial,1958-08-13,2025-03-31,46100,32696,5378,745,1.618,13.853,OCC
10033,Trust Trust Company of Newark,Trust Trust Company of Newark,Newark,NJ,76162,N,Commercial,1973-10-27,2025-03-31,587115,440242,63048,10454,1.781,16.581,OCC
10034,Northern Financial of Newark,Northern Financial of Newark,Newark,NJ,80798,NM,Commercial,1933-04-09,2025-03-31,82216,69912,7945,479,0.583,6.029,FDIC
10035,Liberty California Trust Company,Liberty California Trust Company,San Jose,CA,56105,N,Commercial,1865-10-13,2025-03-31,840734,658272,41974,6920,0.823,16.486,OCC
10036,Eastern Community Bank of Baltimore,Eastern Community Bank of Baltimore,Baltimore,MD,26728,NM,Commercial,1963-12-06,2025-03-31,66240084,56100503,8867472,647183,0.977,7.298,FDIC
10037,River Bank of Austin,River Bank of Austin,Austin,TX,65255,N,Commercial,1957-05-25,2025-03-31,795205,658867,35045,4283,0.539,12.221,OCC
10038,Northern National Bank of Topeka,First Horizon Corp.,Topeka,KS,97747,SA,Savings,1865-10-05,2025-03-31,154615,119052,19616,2658,1.719,13.55,OCC
